utc,coin,side,met,price
2026-09-16 23:53,ZEC,breakout-long,-,1290.17
2026-09-17 00:22,SOL,long,6,98.54
2026-09-17 00:22,LINK,long,6,11.05115
2026-09-17 00:22,UNI,sniper-long,6,6.6986
2026-09-17 01:16,BTC,long,5,76276.2
2026-09-17 02:16,ETH,long,5,2425.52
2026-09-17 04:17,NEAR,breakout-long,-,2.6941
2026-09-17 10:16,LINK,long,5,11.12253
2026-09-17 16:17,UNI,breakout-long,-,7.1159
2026-09-17 20:17,SOL,sniper-long,5,100.88
2026-09-17 20:17,XLM,sniper-long,5,0.186122
2026-09-18 04:16,LINK,sniper-long,6,11.75775
2026-09-18 04:16,HBAR,sniper-long,5,0.07729
2026-09-18 06:40,SOL,scalp-pullback-long,85,105.58
2026-09-18 08:09,BTC,sniper-long,5,77727.4
2026-09-18 08:09,ETH,sniper-long,6,2487.85
2026-09-18 08:25,ETH,scalp-breakout-long,98,2502.1
2026-09-18 09:55,SOL,scalp-pullback-long,85,106.3
2026-09-18 13:41,BTC,scalp-breakout-long,85,78896.2
2026-09-18 13:41,ETH,scalp-breakout-long,96,2527.58
2026-09-18 13:41,SOL,scalp-breakout-long,98,107.61
2026-09-18 16:08,ETH,breakout-long,-,2582.73
2026-09-18 16:08,XRP,sniper-long,6,1.38386
2026-09-18 16:08,LINK,breakout-long,-,12.13888
2026-09-18 18:35,BTC,scalp-pullback-long,85,80989.9
2026-09-18 18:35,ETH,scalp-breakout-long,94,2620.49
2026-09-18 18:35,ZEC,scalp-pullback-short,85,1446.39
2026-09-18 20:45,ZEC,scalp-breakout-long,82,1493.02
2026-09-18 23:00,ZEC,scalp-breakout-long,85,1549.61
2026-09-18 23:07,ETH,scalp-breakdown-short,85,2615.49
2026-09-19 08:25,ZEC,scalp-pullback-long,85,1568.49
2026-09-19 08:40,ETH,scalp-burst-long,89,2651.73
2026-09-19 09:10,BTC,scalp-breakout-long,86,81430.7
2026-09-19 11:00,ZEC,scalp-breakdown-short,85,1531.13
2026-09-19 14:20,BTC,scalp-breakout-long,100,81447.4
2026-09-19 14:35,ZEC,scalp-pullback-short,85,1526.83
2026-09-19 16:08,ZEC,scalp-breakdown-short,90,1512.81
2026-09-19 16:08,XLM,breakout-long,-,0.198298
2026-09-19 16:08,HBAR,breakout-long,-,0.08107
2026-09-19 18:14,SOL,scalp-burst-short,82,110.83
2026-09-19 20:50,BTC,scalp-breakdown-short,85,81190.9
2026-09-19 21:15,ETH,scalp-breakdown-short,85,2624.21
2026-09-19 21:15,ZEC,scalp-pullback-short,85,1469.63
2026-09-20 01:35,ETH,scalp-breakdown-short,94,2617.38
2026-09-20 01:50,SOL,scalp-burst-short,86,109.93
2026-09-20 02:31,BTC,scalp-breakdown-short,94,80948.2
2026-09-20 03:08,ETH,scalp-burst-short,94,2575.37
2026-09-20 04:20,BTC,scalp-pullback-short,85,80347.1
2026-09-20 05:20,ETH,scalp-pullback-short,85,2577.95
2026-09-20 05:24,ZEC,scalp-pullback-short,85,1446.4
2026-09-20 08:45,SOL,scalp-breakdown-short,90,107.92
2026-09-20 15:20,ETH,scalp-burst-long,85,2599.39
2026-09-20 16:30,BTC,scalp-burst-long,82,81161.3
2026-09-20 16:35,SOL,scalp-breakout-long,85,109.92
2026-09-20 17:07,ETH,scalp-burst-long,95,2646.25
2026-09-20 18:25,ZEC,scalp-breakout-long,85,1478.85
2026-09-21 00:11,ZEC,scalp-pullback-long,85,1522.83
2026-09-21 00:15,ETH,scalp-breakout-long,100,2676.75
2026-09-21 00:25,SOL,scalp-burst-long,89,112.6
2026-09-21 04:08,ETH,breakout-long,-,2665.34
2026-09-21 05:30,BTC,scalp-breakout-long,82,81577.0
2026-09-21 05:35,SOL,scalp-breakout-long,92,112.19
2026-09-21 08:25,SOL,scalp-breakout-long,88,113.26
2026-09-21 08:30,BTC,scalp-breakout-long,91,82230.1
2026-09-21 08:40,ETH,scalp-breakout-long,88,2698.79
2026-09-21 09:01,ZEC,scalp-breakout-long,90,1523.18
2026-09-21 11:10,ETH,scalp-pullback-long,85,2720.3
2026-09-21 11:30,ZEC,scalp-pullback-long,85,1543.82
2026-09-21 12:10,LINK,breakout-long,-,13.04532
2026-09-21 12:10,XLM,breakout-long,-,0.210428
2026-09-21 13:00,ETH,scalp-pullback-long,85,2734.33
2026-09-21 13:05,SOL,scalp-pullback-long,85,116.89
2026-09-21 13:50,BTC,scalp-pullback-long,85,85393.7
2026-09-21 15:30,ZEC,scalp-breakdown-short,85,1495.88
2026-09-21 16:20,ETH,scalp-pullback-long,85,2763.5
2026-09-21 17:40,BTC,scalp-pullback-long,85,85903.3
2026-09-21 19:20,BTC,scalp-breakout-long,96,86300.0
2026-09-21 20:20,ETH,scalp-breakout-long,92,2794.27
2026-09-21 20:20,SOL,scalp-breakout-long,86,118.91
2026-09-21 22:15,SOL,scalp-pullback-long,85,119.43
2026-09-22 01:00,BTC,scalp-breakdown-short,85,85880.1
2026-09-22 01:00,ETH,scalp-breakdown-short,85,2753.63
2026-09-22 01:05,SOL,scalp-breakdown-short,85,117.66
2026-09-22 02:20,ZEC,scalp-breakdown-short,90,1448.08
2026-09-22 02:55,SOL,scalp-breakdown-short,85,116.88
2026-09-22 03:10,ETH,scalp-breakdown-short,85,2734.0
2026-09-22 05:00,ETH,scalp-pullback-short,85,2728.21
